country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year,gdp_for_year ($),gdp_per_capita ($),generation
Albania,2007,male,75+ years,8,42366,18.88,Albania2007,NA,10701011897,3863,Silent
Albania,2007,male,35-54 years,29,378626,7.66,Albania2007,NA,10701011897,3863,Boomers
Albania,2007,male,55-74 years,14,224160,6.25,Albania2007,NA,10701011897,3863,Silent
Albania,2007,female,75+ years,3,57404,5.23,Albania2007,NA,10701011897,3863,Silent
Albania,2007,male,25-34 years,9,172494,5.22,Albania2007,NA,10701011897,3863,Generation X
Albania,2007,female,15-24 years,13,281080,4.63,Albania2007,NA,10701011897,3863,Millenials
Albania,2007,male,15-24 years,13,288349,4.51,Albania2007,NA,10701011897,3863,Millenials
Albania,2007,female,25-34 years,8,183629,4.36,Albania2007,NA,10701011897,3863,Generation X
Albania,2007,female,55-74 years,9,221120,4.07,Albania2007,NA,10701011897,3863,Silent
Albania,2007,female,35-54 years,14,391811,3.57,Albania2007,NA,10701011897,3863,Boomers
Albania,2007,male,5-14 years,4,272497,1.47,Albania2007,NA,10701011897,3863,Generation Z
Albania,2007,female,5-14 years,0,256808,0,Albania2007,NA,10701011897,3863,Generation Z
Antigua and Barbuda,2007,male,35-54 years,1,12530,7.98,Antigua and Barbuda2007,NA,1311401333,15775,Boomers
Antigua and Barbuda,2007,female,15-24 years,0,8013,0,Antigua and Barbuda2007,NA,1311401333,15775,Millenials
Antigua and Barbuda,2007,female,25-34 years,0,6962,0,Antigua and Barbuda2007,NA,1311401333,15775,Generation X
Antigua and Barbuda,2007,female,35-54 years,0,13860,0,Antigua and Barbuda2007,NA,1311401333,15775,Boomers
Antigua and Barbuda,2007,female,5-14 years,0,8555,0,Antigua and Barbuda2007,NA,1311401333,15775,Generation Z
Antigua and Barbuda,2007,female,55-74 years,0,4400,0,Antigua and Barbuda2007,NA,1311401333,15775,Silent
Antigua and Barbuda,2007,female,75+ years,0,1568,0,Antigua and Barbuda2007,NA,1311401333,15775,Silent
Antigua and Barbuda,2007,male,15-24 years,0,7330,0,Antigua and Barbuda2007,NA,1311401333,15775,Millenials
Antigua and Barbuda,2007,male,25-34 years,0,6267,0,Antigua and Barbuda2007,NA,1311401333,15775,Generation X
Antigua and Barbuda,2007,male,5-14 years,0,8564,0,Antigua and Barbuda2007,NA,1311401333,15775,Generation Z
Antigua and Barbuda,2007,male,55-74 years,0,3988,0,Antigua and Barbuda2007,NA,1311401333,15775,Silent
Antigua and Barbuda,2007,male,75+ years,0,1094,0,Antigua and Barbuda2007,NA,1311401333,15775,Silent
Argentina,2007,male,75+ years,225,634995,35.43,Argentina2007,NA,287530508431,7918,Silent
Argentina,2007,male,15-24 years,577,3381171,17.07,Argentina2007,NA,287530508431,7918,Millenials
Argentina,2007,male,55-74 years,438,2582754,16.96,Argentina2007,NA,287530508431,7918,Silent
Argentina,2007,male,25-34 years,490,3125322,15.68,Argentina2007,NA,287530508431,7918,Generation X
Argentina,2007,male,35-54 years,571,4436541,12.87,Argentina2007,NA,287530508431,7918,Boomers
Argentina,2007,female,15-24 years,146,3292790,4.43,Argentina2007,NA,287530508431,7918,Millenials
Argentina,2007,female,25-34 years,126,3120162,4.04,Argentina2007,NA,287530508431,7918,Generation X
Argentina,2007,female,55-74 years,108,3033008,3.56,Argentina2007,NA,287530508431,7918,Silent
Argentina,2007,female,35-54 years,155,4601874,3.37,Argentina2007,NA,287530508431,7918,Boomers
Argentina,2007,female,75+ years,31,1161794,2.67,Argentina2007,NA,287530508431,7918,Silent
Argentina,2007,male,5-14 years,45,3530454,1.27,Argentina2007,NA,287530508431,7918,Generation Z
Argentina,2007,female,5-14 years,34,3414627,1,Argentina2007,NA,287530508431,7918,Generation Z
Armenia,2007,male,75+ years,7,49296,14.2,Armenia2007,NA,9206301700,3366,Silent
Armenia,2007,male,55-74 years,13,185290,7.02,Armenia2007,NA,9206301700,3366,Silent
Armenia,2007,male,35-54 years,19,362189,5.25,Armenia2007,NA,9206301700,3366,Boomers
Armenia,2007,female,55-74 years,8,240998,3.32,Armenia2007,NA,9206301700,3366,Silent
Armenia,2007,male,15-24 years,7,272188,2.57,Armenia2007,NA,9206301700,3366,Millenials
Armenia,2007,male,25-34 years,4,191561,2.09,Armenia2007,NA,9206301700,3366,Generation X
Armenia,2007,female,35-54 years,8,444817,1.8,Armenia2007,NA,9206301700,3366,Boomers
Armenia,2007,female,75+ years,1,79210,1.26,Armenia2007,NA,9206301700,3366,Silent
Armenia,2007,female,15-24 years,3,288510,1.04,Armenia2007,NA,9206301700,3366,Millenials
Armenia,2007,male,5-14 years,1,210620,0.47,Armenia2007,NA,9206301700,3366,Generation Z
Armenia,2007,female,25-34 years,0,220144,0,Armenia2007,NA,9206301700,3366,Generation X
Armenia,2007,female,5-14 years,0,190490,0,Armenia2007,NA,9206301700,3366,Generation Z
Aruba,2007,male,25-34 years,2,5935,33.7,Aruba2007,NA,2623726257,27672,Generation X
Aruba,2007,male,35-54 years,3,16040,18.7,Aruba2007,NA,2623726257,27672,Boomers
Aruba,2007,male,15-24 years,1,6440,15.53,Aruba2007,NA,2623726257,27672,Millenials
Aruba,2007,male,55-74 years,1,7641,13.09,Aruba2007,NA,2623726257,27672,Silent
Aruba,2007,female,55-74 years,1,8952,11.17,Aruba2007,NA,2623726257,27672,Silent
Aruba,2007,female,15-24 years,0,6548,0,Aruba2007,NA,2623726257,27672,Millenials
Aruba,2007,female,25-34 years,0,6847,0,Aruba2007,NA,2623726257,27672,Generation X
Aruba,2007,female,35-54 years,0,18313,0,Aruba2007,NA,2623726257,27672,Boomers
Aruba,2007,female,5-14 years,0,7391,0,Aruba2007,NA,2623726257,27672,Generation Z
Aruba,2007,female,75+ years,0,1890,0,Aruba2007,NA,2623726257,27672,Silent
Aruba,2007,male,5-14 years,0,7537,0,Aruba2007,NA,2623726257,27672,Generation Z
Aruba,2007,male,75+ years,0,1280,0,Aruba2007,NA,2623726257,27672,Silent
Australia,2007,male,25-34 years,341,1470431,23.19,Australia2007,NA,851962785585,43171,Generation X
Australia,2007,male,35-54 years,687,2977977,23.07,Australia2007,NA,851962785585,43171,Boomers
Australia,2007,male,75+ years,124,539184,23,Australia2007,NA,851962785585,43171,Silent
Australia,2007,male,55-74 years,305,1877160,16.25,Australia2007,NA,851962785585,43171,Silent
Australia,2007,male,15-24 years,234,1515524,15.44,Australia2007,NA,851962785585,43171,Millenials
Australia,2007,female,35-54 years,219,3025248,7.24,Australia2007,NA,851962785585,43171,Boomers
Australia,2007,female,55-74 years,118,1911478,6.17,Australia2007,NA,851962785585,43171,Silent
Australia,2007,female,25-34 years,90,1460752,6.16,Australia2007,NA,851962785585,43171,Generation X
Australia,2007,female,15-24 years,66,1440419,4.58,Australia2007,NA,851962785585,43171,Millenials
Australia,2007,female,75+ years,33,770691,4.28,Australia2007,NA,851962785585,43171,Silent
Australia,2007,male,5-14 years,8,1408182,0.57,Australia2007,NA,851962785585,43171,Generation Z
Australia,2007,female,5-14 years,4,1337384,0.3,Australia2007,NA,851962785585,43171,Generation Z
Austria,2007,male,75+ years,170,225285,75.46,Austria2007,NA,388691445387,49218,Silent
Austria,2007,male,55-74 years,273,800509,34.1,Austria2007,NA,388691445387,49218,Silent
Austria,2007,male,35-54 years,331,1291260,25.63,Austria2007,NA,388691445387,49218,Boomers
Austria,2007,female,75+ years,80,428921,18.65,Austria2007,NA,388691445387,49218,Silent
Austria,2007,male,25-34 years,99,542760,18.24,Austria2007,NA,388691445387,49218,Generation X
Austria,2007,male,15-24 years,93,517817,17.96,Austria2007,NA,388691445387,49218,Millenials
Austria,2007,female,55-74 years,109,885212,12.31,Austria2007,NA,388691445387,49218,Silent
Austria,2007,female,35-54 years,88,1277479,6.89,Austria2007,NA,388691445387,49218,Boomers
Austria,2007,female,25-34 years,25,539763,4.63,Austria2007,NA,388691445387,49218,Generation X
Austria,2007,female,15-24 years,15,499804,3,Austria2007,NA,388691445387,49218,Millenials
Austria,2007,male,5-14 years,2,455269,0.44,Austria2007,NA,388691445387,49218,Generation Z
Austria,2007,female,5-14 years,0,433193,0,Austria2007,NA,388691445387,49218,Generation Z
Azerbaijan,2007,male,75+ years,3,75400,3.98,Azerbaijan2007,NA,33050343783,4172,Silent
Azerbaijan,2007,male,55-74 years,8,381400,2.1,Azerbaijan2007,NA,33050343783,4172,Silent
Azerbaijan,2007,male,35-54 years,15,1146950,1.31,Azerbaijan2007,NA,33050343783,4172,Boomers
Azerbaijan,2007,male,25-34 years,8,647850,1.23,Azerbaijan2007,NA,33050343783,4172,Generation X
Azerbaijan,2007,female,75+ years,1,118150,0.85,Azerbaijan2007,NA,33050343783,4172,Silent
Azerbaijan,2007,female,15-24 years,5,872100,0.57,Azerbaijan2007,NA,33050343783,4172,Millenials
Azerbaijan,2007,male,5-14 years,4,711200,0.56,Azerbaijan2007,NA,33050343783,4172,Generation Z
Azerbaijan,2007,female,35-54 years,5,1267550,0.39,Azerbaijan2007,NA,33050343783,4172,Boomers
Azerbaijan,2007,male,15-24 years,3,913150,0.33,Azerbaijan2007,NA,33050343783,4172,Millenials
Azerbaijan,2007,female,25-34 years,2,680650,0.29,Azerbaijan2007,NA,33050343783,4172,Generation X
Azerbaijan,2007,female,55-74 years,1,462700,0.22,Azerbaijan2007,NA,33050343783,4172,Silent
Azerbaijan,2007,female,5-14 years,0,644000,0,Azerbaijan2007,NA,33050343783,4172,Generation Z
Bahamas,2007,male,35-54 years,2,45790,4.37,Bahamas2007,NA,10618340000,33710,Boomers
Bahamas,2007,male,25-34 years,1,27047,3.7,Bahamas2007,NA,10618340000,33710,Generation X
Bahamas,2007,male,15-24 years,1,30182,3.31,Bahamas2007,NA,10618340000,33710,Millenials
Bahamas,2007,female,35-54 years,1,48976,2.04,Bahamas2007,NA,10618340000,33710,Boomers
Bahamas,2007,female,15-24 years,0,30101,0,Bahamas2007,NA,10618340000,33710,Millenials
Bahamas,2007,female,25-34 years,0,27419,0,Bahamas2007,NA,10618340000,33710,Generation X
Bahamas,2007,female,5-14 years,0,28225,0,Bahamas2007,NA,10618340000,33710,Generation Z
Bahamas,2007,female,55-74 years,0,21936,0,Bahamas2007,NA,10618340000,33710,Silent
Bahamas,2007,female,75+ years,0,5046,0,Bahamas2007,NA,10618340000,33710,Silent
Bahamas,2007,male,5-14 years,0,28953,0,Bahamas2007,NA,10618340000,33710,Generation Z
Bahamas,2007,male,55-74 years,0,18460,0,Bahamas2007,NA,10618340000,33710,Silent
Bahamas,2007,male,75+ years,0,2854,0,Bahamas2007,NA,10618340000,33710,Silent
Bahrain,2007,male,25-34 years,14,176938,7.91,Bahrain2007,NA,21730000000,22524,Generation X
Bahrain,2007,male,35-54 years,13,212426,6.12,Bahrain2007,NA,21730000000,22524,Boomers
Bahrain,2007,male,55-74 years,2,32965,6.07,Bahrain2007,NA,21730000000,22524,Silent
Bahrain,2007,male,15-24 years,5,92875,5.38,Bahrain2007,NA,21730000000,22524,Millenials
Bahrain,2007,female,25-34 years,3,87472,3.43,Bahrain2007,NA,21730000000,22524,Generation X
Bahrain,2007,female,35-54 years,2,110173,1.82,Bahrain2007,NA,21730000000,22524,Boomers
Bahrain,2007,female,15-24 years,1,73617,1.36,Bahrain2007,NA,21730000000,22524,Millenials
Bahrain,2007,female,5-14 years,0,70861,0,Bahrain2007,NA,21730000000,22524,Generation Z
Bahrain,2007,female,55-74 years,0,22872,0,Bahrain2007,NA,21730000000,22524,Silent
Bahrain,2007,female,75+ years,0,5497,0,Bahrain2007,NA,21730000000,22524,Silent
Bahrain,2007,male,5-14 years,0,74222,0,Bahrain2007,NA,21730000000,22524,Generation Z
Bahrain,2007,male,75+ years,0,4852,0,Bahrain2007,NA,21730000000,22524,Silent
Barbados,2007,female,15-24 years,0,19237,0,Barbados2007,NA,4523750000,17528,Millenials
Barbados,2007,female,25-34 years,0,20074,0,Barbados2007,NA,4523750000,17528,Generation X
Barbados,2007,female,35-54 years,0,43042,0,Barbados2007,NA,4523750000,17528,Boomers
Barbados,2007,female,5-14 years,0,18772,0,Barbados2007,NA,4523750000,17528,Generation Z
Barbados,2007,female,55-74 years,0,24071,0,Barbados2007,NA,4523750000,17528,Silent
Barbados,2007,female,75+ years,0,9551,0,Barbados2007,NA,4523750000,17528,Silent
Barbados,2007,male,15-24 years,0,19188,0,Barbados2007,NA,4523750000,17528,Millenials
Barbados,2007,male,25-34 years,0,19468,0,Barbados2007,NA,4523750000,17528,Generation X
Barbados,2007,male,35-54 years,0,39190,0,Barbados2007,NA,4523750000,17528,Boomers
Barbados,2007,male,5-14 years,0,19359,0,Barbados2007,NA,4523750000,17528,Generation Z
Barbados,2007,male,55-74 years,0,20249,0,Barbados2007,NA,4523750000,17528,Silent
Barbados,2007,male,75+ years,0,5882,0,Barbados2007,NA,4523750000,17528,Silent
Belarus,2007,male,75+ years,122,157647,77.39,Belarus2007,NA,45277399814,4898,Silent
Belarus,2007,male,55-74 years,506,710519,71.22,Belarus2007,NA,45277399814,4898,Silent
Belarus,2007,male,35-54 years,900,1399410,64.31,Belarus2007,NA,45277399814,4898,Boomers
Belarus,2007,male,25-34 years,405,723119,56.01,Belarus2007,NA,45277399814,4898,Generation X
Belarus,2007,male,15-24 years,261,801445,32.57,Belarus2007,NA,45277399814,4898,Millenials
Belarus,2007,female,75+ years,70,424470,16.49,Belarus2007,NA,45277399814,4898,Silent
Belarus,2007,female,55-74 years,127,1054993,12.04,Belarus2007,NA,45277399814,4898,Silent
Belarus,2007,female,35-54 years,163,1518188,10.74,Belarus2007,NA,45277399814,4898,Boomers
Belarus,2007,female,25-34 years,56,711481,7.87,Belarus2007,NA,45277399814,4898,Generation X
Belarus,2007,female,15-24 years,37,768164,4.82,Belarus2007,NA,45277399814,4898,Millenials
Belarus,2007,male,5-14 years,9,500931,1.8,Belarus2007,NA,45277399814,4898,Generation Z
Belarus,2007,female,5-14 years,3,474089,0.63,Belarus2007,NA,45277399814,4898,Generation Z
Belgium,2007,male,75+ years,163,331504,49.17,Belgium2007,NA,471821105940,47040,Silent
Belgium,2007,male,35-54 years,578,1567727,36.87,Belgium2007,NA,471821105940,47040,Boomers
Belgium,2007,male,55-74 years,308,1043262,29.52,Belgium2007,NA,471821105940,47040,Silent
Belgium,2007,male,25-34 years,174,689694,25.23,Belgium2007,NA,471821105940,47040,Generation X
Belgium,2007,female,35-54 years,232,1540147,15.06,Belgium2007,NA,471821105940,47040,Boomers
Belgium,2007,female,55-74 years,166,1122161,14.79,Belgium2007,NA,471821105940,47040,Silent
Belgium,2007,male,15-24 years,91,651293,13.97,Belgium2007,NA,471821105940,47040,Millenials
Belgium,2007,female,75+ years,76,563862,13.48,Belgium2007,NA,471821105940,47040,Silent
Belgium,2007,female,25-34 years,40,681575,5.87,Belgium2007,NA,471821105940,47040,Generation X
Belgium,2007,female,15-24 years,22,635389,3.46,Belgium2007,NA,471821105940,47040,Millenials
Belgium,2007,male,5-14 years,6,614877,0.98,Belgium2007,NA,471821105940,47040,Generation Z
Belgium,2007,female,5-14 years,1,588775,0.17,Belgium2007,NA,471821105940,47040,Generation Z
Belize,2007,male,75+ years,1,1802,55.49,Belize2007,NA,1290573400,4951,Silent
Belize,2007,male,35-54 years,2,29071,6.88,Belize2007,NA,1290573400,4951,Boomers
Belize,2007,male,15-24 years,2,30074,6.65,Belize2007,NA,1290573400,4951,Millenials
Belize,2007,female,35-54 years,1,28664,3.49,Belize2007,NA,1290573400,4951,Boomers
Belize,2007,female,15-24 years,1,30151,3.32,Belize2007,NA,1290573400,4951,Millenials
Belize,2007,male,5-14 years,1,37602,2.66,Belize2007,NA,1290573400,4951,Generation Z
Belize,2007,female,25-34 years,0,23636,0,Belize2007,NA,1290573400,4951,Generation X
Belize,2007,female,5-14 years,0,37069,0,Belize2007,NA,1290573400,4951,Generation Z
Belize,2007,female,55-74 years,0,8579,0,Belize2007,NA,1290573400,4951,Silent
Belize,2007,female,75+ years,0,2027,0,Belize2007,NA,1290573400,4951,Silent
Belize,2007,male,25-34 years,0,23259,0,Belize2007,NA,1290573400,4951,Generation X
Belize,2007,male,55-74 years,0,8733,0,Belize2007,NA,1290573400,4951,Silent
Brazil,2007,male,75+ years,305,1654216,18.44,Brazil2007,NA,1397084345950,7970,Silent
Brazil,2007,male,55-74 years,1220,9611434,12.69,Brazil2007,NA,1397084345950,7970,Silent
Brazil,2007,male,35-54 years,2516,23156759,10.87,Brazil2007,NA,1397084345950,7970,Boomers
Brazil,2007,male,25-34 years,1609,16075775,10.01,Brazil2007,NA,1397084345950,7970,Generation X
Brazil,2007,male,15-24 years,1267,17991928,7.04,Brazil2007,NA,1397084345950,7970,Millenials
Brazil,2007,female,35-54 years,723,24591528,2.94,Brazil2007,NA,1397084345950,7970,Boomers
Brazil,2007,female,55-74 years,275,11208413,2.45,Brazil2007,NA,1397084345950,7970,Silent
Brazil,2007,female,25-34 years,392,16189977,2.42,Brazil2007,NA,1397084345950,7970,Generation X
Brazil,2007,female,15-24 years,379,17547530,2.16,Brazil2007,NA,1397084345950,7970,Millenials
Brazil,2007,female,75+ years,51,2581330,1.98,Brazil2007,NA,1397084345950,7970,Silent
Brazil,2007,male,5-14 years,67,17669069,0.38,Brazil2007,NA,1397084345950,7970,Generation Z
Brazil,2007,female,5-14 years,51,17015233,0.3,Brazil2007,NA,1397084345950,7970,Generation Z
Bulgaria,2007,male,75+ years,151,215225,70.16,Bulgaria2007,NA,44411476557,6073,Silent
Bulgaria,2007,male,55-74 years,238,804233,29.59,Bulgaria2007,NA,44411476557,6073,Silent
Bulgaria,2007,female,75+ years,70,344739,20.31,Bulgaria2007,NA,44411476557,6073,Silent
Bulgaria,2007,male,35-54 years,180,1061001,16.97,Bulgaria2007,NA,44411476557,6073,Boomers
Bulgaria,2007,male,25-34 years,55,583293,9.43,Bulgaria2007,NA,44411476557,6073,Generation X
Bulgaria,2007,female,55-74 years,82,981661,8.35,Bulgaria2007,NA,44411476557,6073,Silent
Bulgaria,2007,male,15-24 years,39,518624,7.52,Bulgaria2007,NA,44411476557,6073,Millenials
Bulgaria,2007,female,35-54 years,58,1072051,5.41,Bulgaria2007,NA,44411476557,6073,Boomers
Bulgaria,2007,female,25-34 years,15,558209,2.69,Bulgaria2007,NA,44411476557,6073,Generation X
Bulgaria,2007,female,15-24 years,9,493056,1.83,Bulgaria2007,NA,44411476557,6073,Millenials
Bulgaria,2007,female,5-14 years,5,331138,1.51,Bulgaria2007,NA,44411476557,6073,Generation Z
Bulgaria,2007,male,5-14 years,0,349244,0,Bulgaria2007,NA,44411476557,6073,Generation Z
Canada,2007,male,35-54 years,1224,5064536,24.17,Canada2007,NA,1464977190206,46890,Boomers
Canada,2007,male,75+ years,183,837259,21.86,Canada2007,NA,1464977190206,46890,Silent
Canada,2007,male,25-34 years,404,2250433,17.95,Canada2007,NA,1464977190206,46890,Generation X
Canada,2007,male,55-74 years,539,3006062,17.93,Canada2007,NA,1464977190206,46890,Silent
Canada,2007,male,15-24 years,359,2318148,15.49,Canada2007,NA,1464977190206,46890,Millenials
Canada,2007,female,35-54 years,400,5030803,7.95,Canada2007,NA,1464977190206,46890,Boomers
Canada,2007,female,55-74 years,188,3170541,5.93,Canada2007,NA,1464977190206,46890,Silent
Canada,2007,female,15-24 years,116,2206555,5.26,Canada2007,NA,1464977190206,46890,Millenials
Canada,2007,female,25-34 years,113,2212210,5.11,Canada2007,NA,1464977190206,46890,Generation X
Canada,2007,female,75+ years,52,1269438,4.1,Canada2007,NA,1464977190206,46890,Silent
Canada,2007,male,5-14 years,18,1986129,0.91,Canada2007,NA,1464977190206,46890,Generation Z
Canada,2007,female,5-14 years,15,1890517,0.79,Canada2007,NA,1464977190206,46890,Generation Z
Chile,2007,male,75+ years,63,219367,28.72,Chile2007,NA,173605968179,11387,Silent
Chile,2007,male,55-74 years,270,1031049,26.19,Chile2007,NA,173605968179,11387,Silent
Chile,2007,male,25-34 years,310,1251058,24.78,Chile2007,NA,173605968179,11387,Generation X
